Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,14883,10/03/2019,NYSEG,LANCASTER,Erie,14086,Lancaster,NYS-CEMETERY RD 492,3103703,Battery,"Buffalo Solar Solutions, Inc.",NM,58,POINT (-78.67017 42.90039)
12/31/2025,DGINT-10352,08/05/2021,O&R,NEW CITY,Rockland,10956,EAST,New Hempstead,45-8-13,Battery,Sunrun Inc,NM,3.8,POINT (-74.0104 41.14829)
12/31/2025,22840,04/03/2024,NYSEG,South New Berlin,Chenango,13843,Oneonta,NYS-SOUTH NEW BERLIN 012,2305412,Battery,Infinity Solar Systems,NM,5,POINT (-75.38526 42.52913)
12/31/2025,DGINT-12934,05/19/2023,O&R,WARWICK,Orange,10990,CENTRAL,Hunt,84-3-13,Battery,Other,NM,18.432,POINT (-74.35825 41.25848)
12/31/2025,PAM-2021-160544,06/13/2022,PSEGLI,PATCHOGUE,Suffolk,11772,,340,7513,Battery,Surf Clean Energy Inc.,NM,4.5,POINT (-73.01021 40.76241)
12/31/2025,PAM-2021-86086,05/13/2021,PSEGLI,Wantagh,Nassau,11793,,993,428,Battery,"Sunrun, Inc.",NM,5,POINT (-73.50984 40.67585)
12/31/2025,SDG-42675,01/17/2023,Con Ed,Mamaroneck,Westchester,10543,CENY-W,Harrison,17W41,Battery,Trinity Solar,NM,5,POINT (-73.73578 40.94909)
12/31/2025,DGINT-13428,07/21/2023,O&R,WARWICK,Orange,10990,CENTRAL,Wisner,80-4-13,Battery,Sunrun Inc,NM,7.6,POINT (-74.35825 41.25848)
12/31/2025,PAM-2021-86506,04/14/2021,PSEGLI,East Rockaway,Nassau,11518,,229,4775,Battery,Sunrun_ Inc.,NM,5,POINT (-73.6648 40.64667)
12/31/2025,DGINT-12979,05/24/2023,O&R,NEW CITY,Rockland,10956,EAST,Congers,22-1-13,Battery,Other,NM,16.512,POINT (-74.0104 41.14829)
12/31/2025,CH-21811,03/21/2025,Central Hudson,Poughkeepsie,Dutchess,12603,Poughkeepsie,Todd Hill,6051,Battery,SunRun Installations INC,NM,11.5,POINT (-73.89901 41.69646)
12/31/2025,PAM-2022-294403,11/30/2023,PSEGLI,HICKSVILLE,Nassau,11801,,810,4597,Battery,"Sunrun, Inc.",NM,5,POINT (-73.52743 40.76382)
12/31/2025,CH-12698,02/08/2021,Central Hudson,New Windsor,Orange,12553,Newburgh,Bethlehem Rd,4094,Battery,Tesla,NM,15,POINT (-74.02274 41.47742)
12/31/2025,SDG-61206,11/29/2023,Con Ed,White Plains,Westchester,10607,CENY-W,Elmsford No. 2,47U2,Battery,Sunrun Inc,NM,7.6,POINT (-73.80755 41.04178)
12/31/2025,DGINT-14231,02/05/2024,O&R,MIDDLETOWN,Orange,10941,WEST,Silver Lake,113-2-13,Battery,Sunrun Inc,NM,6.88,POINT (-74.36007 41.47205)
12/31/2025,SDG-03717,02/04/2019,Con Ed,New Rochelle,Westchester,10804,CENY-W,Cedar Street,70U2,Battery,SolarCity,,5,POINT (-73.79251 40.93635)
12/31/2025,SDG-89052,12/17/2025,Con Ed,Bronxville,Westchester,10708,CENY-W,Washington Street,9W72,Battery,Infinity Solar,NM,23,POINT (-73.83125 40.93613)
